Array Size,Cpu without scan (s),Cpu with scan (s),Efficient SC (s),Shared Memory SC (s)
13,0.0001,0.0001,1.28,0.932864
29,0.0003,0.0002,0.738304,0.996352
61,0.0004,0.0003,0.817152,0.959488
125,0.0009,0.0005,0.817152,1.03117
253,0.0008,0.001,1.18477,1.02502
509,0.0028,0.0018,0.93696,1.24621
1021,0.0028,0.0032,0.776192,1.00147
2045,0.0097,0.0058,1.01683,1.35066
4093,0.0109,0.0115,0.939008,1.04346
8189,0.0215,0.038,1.72544,1.25747
16381,0.0431,0.0584,1.13971,1.53907
32765,0.0853,0.1054,1.48582,1.4121
65533,0.1784,0.2131,1.78074,2.68288
131069,0.3358,0.3614,3.45088,3.45907
262141,0.9037,0.8715,5.05446,6.17984
524285,1.4067,1.6126,8.97024,8.84838
1048573,3.3509,3.0234,16.1198,15.9263
2097149,5.2253,5.6303,31.2955,30.3462
4194301,10.5735,14.191,59.9153,56.2708
8388605,21.7457,26.1124,114.73,112.66
16777213,42.1169,45.9624,231.06,219.867
33554429,88.8376,89.8317,467.247,440.759
67108861,177.373,180.846,940.649,886.448
134217725,351.165,351.419,1878.95,1777.44
268435453,694.33,703.961,3758.43,3547.68
13,0.0001,0.0002,0.797696,0.9472
29,0.0003,0.0003,0.98304,1.04755
61,0.0004,0.0003,0.874496,1.00966
125,0.0006,0.0005,0.924672,0.928768
253,0.0015,0.001,0.96256,1.28307
509,0.0027,0.0017,0.786432,1.06394
1021,0.0215,0.0036,0.93184,1.0281
2045,0.009,0.0079,1.03424,1.09875
4093,0.027,0.0113,1.05062,1.1049
8189,0.0211,0.0228,1.05677,1.13869
16381,0.0414,0.055,1.59539,1.36397
32765,0.0873,0.0906,1.62611,1.36294
65533,0.1699,0.2037,2.10534,2.66035
131069,0.3634,0.4301,2.88666,3.90144
262141,0.6705,0.8976,5.13741,6.1184
524285,1.3,1.6328,8.84224,9.41875
1048573,2.6913,2.8951,16.2724,16.2468
2097149,5.3402,5.9547,30.7732,29.3663
4194301,10.6012,11.662,57.984,56.6968
8388605,20.9108,21.849,114.205,110.132
16777213,45.779,42.9926,229.613,224.373
33554429,86.2213,91.8358,464.928,442.492
67108861,175.108,177.443,939.014,887.564
134217725,354.64,347.971,1876.11,1782.23
268435453,696.77,704.997,3738.1,3543.88
13,0.0002,0.0002,0.897024,1.05574
29,0.0004,0.0003,0.820224,0.963584
61,0.0003,0.0006,0.694272,0.96256
125,0.0009,0.0005,0.795648,0.902144
253,0.0016,0.001,0.900096,1.05882
509,0.0027,0.0018,1.08749,0.994304
1021,0.0047,0.0029,0.959488,1.07622
2045,0.026,0.0057,1.152,1.06701
4093,0.013,0.0268,1.01478,1.48992
8189,0.0223,0.0227,0.992256,1.01786
16381,0.0412,0.0451,1.21446,1.29536
32765,0.0892,0.0923,1.39264,1.34042
65533,0.1655,0.2063,1.89235,2.60608
131069,0.3485,0.4777,3.10374,3.83078
