Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
32,0.0003,0.19456,0.129024,0.169984,0.147456
64,0.0003,0.21504,0.13312,0.172032,0.145408
128,0.0002,0.242688,0.159744,0.1792,0.124928
256,0.0137,0.246784,0.192512,0.176128,0.150528
512,0.0007,0.251904,0.198656,0.177152,0.14848
1024,0.0006,0.249856,0.216064,0.16384,0.10752
2048,0.001,0.268288,0.231424,0.151552,0.12288
4096,0.002,0.263168,0.222208,0.160768,0.124928
8192,0.0036,0.357376,0.258048,0.155648,0.136192
16384,0.0085,0.382624,0.343904,0.17808,0.152192
32768,0.0191,0.451904,0.516096,0.210272,0.146432
65536,0.0406,0.663552,0.318464,0.178016,0.1536
131072,0.6,1.04038,0.342016,0.178976,0.462848
262144,1.1715,2.18931,0.402784,0.258048,0.645696
524288,2.6164,4.17997,0.713728,0.305152,0.589824
1048576,4.845,8.3975,1.1264,0.353824,0.68048
2097152,9.5091,16.6611,2.51085,0.544192,1.12262
4194304,25.1463,34.5272,4.34483,0.840288,0.87104
8388608,43.4909,63.1928,6.74099,1.59437,0.794624
16777216,76.6685,133.19,11.8436,2.95581,1.26259
33554432,156.396,272.028,30.5981,5.61395,2.1504
67108864,313.641,535.695,54.3252,10.9474,3.80694
16,0.0001,0.207872,0.11264,0.218112,0.206848
32,0.0001,0.222208,0.12288,0.19456,0.145408
64,0.0001,0.237568,0.142336,0.169984,0.160768
128,0.0001,0.216064,0.1536,0.198656,0.166912
256,0.0002,0.243712,0.52736,0.202752,0.162816
512,0.0002,0.254976,0.200704,0.172032,0.144384
1024,0.0005,0.251904,0.211968,0.176128,0.145408
2048,0.0011,0.283648,0.241664,0.156672,0.131072
4096,0.0043,0.315392,0.248832,0.155648,0.130048
8192,0.0037,0.325632,0.24576,0.149504,0.118784
16384,0.0091,0.361472,0.283648,0.186368,0.13824
32768,0.0438,0.477184,0.311296,0.197504,0.147456
65536,0.0394,0.697344,0.319488,0.177856,0.1536
131072,0.602,1.1305,0.352256,0.190464,0.4352
262144,1.2258,2.29478,0.438272,0.234496,0.57856
524288,2.3857,3.90531,0.790528,0.349184,0.520608
1048576,5.3644,7.93661,1.66298,0.380224,0.550336
2097152,10.5898,16.1101,1.98861,0.615392,0.51856
4194304,21.5886,32.8131,4.15325,0.85168,0.628608
8388608,41.2624,65.9153,6.82906,1.53152,0.808608
16777216,78.9556,140.092,15.2965,2.86051,1.23661
33554432,152.112,261.018,22.144,5.95136,2.00253
67108864,312.208,527.174,65.5534,10.9821,3.62448
16,0,0.2304,0.099328,0.2048,0.18432
32,0.0001,0.227328,0.131072,0.202752,0.16896
64,0.0002,0.223232,0.139264,0.173056,0.145408
128,0.0001,0.188416,0.1536,0.218112,0.156672
256,0.0002,0.210944,0.180224,0.1536,0.120832
512,0.0005,0.259072,0.182272,0.15872,0.126976
1024,0.0004,0.392192,0.217088,0.151552,0.119808
2048,0.0011,0.238592,0.228352,0.125952,0.120832
4096,0.0022,0.254976,0.249856,0.164864,0.139264
8192,0.004,0.29184,0.285696,0.157696,0.141312
16384,0.01,0.330752,0.277504,0.218112,0.180224
32768,0.0354,0.44032,0.305152,0.15504,0.13312
65536,0.0447,0.661504,0.328704,0.211968,0.128
131072,0.7166,1.04038,0.352256,0.1792,0.459072
262144,1.2095,2.72794,0.405504,0.248832,0.442368
524288,2.5316,3.8871,0.703488,0.508928,0.603456
1048576,4.7164,8.18586,1.11718,0.450176,0.51744
2097152,9.3944,16.0587,2.4279,0.582656,0.621376
4194304,19.7729,32.1329,3.44371,0.85472,0.68688
8388608,39.3043,64.255,6.63389,1.66566,0.883104
16777216,80.6635,129.152,11.4575,2.88851,1.26208
33554432,154.041,264.05,30.1476,5.66214,2.10227
67108864,305.373,527.551,51.9264,11.1,3.57171
16,0.0001,0.214016,0.119808,0.193536,0.149504
32,0.0003,0.20992,0.124928,0.164864,0.186368
64,0.0004,0.253952,0.147456,0.16896,0.139264
128,0.0001,0.222208,0.15872,0.1536,0.18432
256,0.0002,0.249856,0.335872,0.176128,0.144384
512,0.0005,0.256,0.196608,0.175104,0.145408
1024,0.0005,0.246784,0.224256,0.180224,0.162816
2048,0.001,0.285696,0.36352,0.262144,0.126976
4096,0.0021,0.219136,0.248832,0.146432,0.145408
8192,0.0045,0.534528,0.273408,0.201728,0.123904
16384,0.0101,0.375808,0.28672,0.181248,0.132096
32768,0.0192,0.47616,0.310272,0.169984,0.149504
65536,0.0392,0.667648,0.320512,0.187392,0.139264
131072,0.6201,1.11718,0.371712,0.182272,0.477184
262144,1.2052,2.38899,0.411648,0.229376,0.449536
524288,2.3815,3.92288,0.76288,0.303104,0.80384
1048576,4.8124,8.19968,1.37318,0.376224,0.52672
2097152,9.7845,16.1818,2.31731,0.541568,0.547424
4194304,20.3798,34.6163,4.16198,0.888832,0.737856
8388608,37.9352,63.2027,6.40064,1.65478,0.889184
16777216,75.2738,129.477,15.5566,2.85974,1.34922
33554432,155.35,261.169,22.2423,5.71862,2.11341
67108864,301.16,528.798,66.0095,11.8184,3.44758
16,0.0001,0.23552,0.113664,0.177152,0.147456
32,0.0002,0.20992,0.134144,0.177152,0.151552
64,0.0002,0.226304,0.140288,0.197632,0.172032
128,0.0001,0.24576,0.172032,0.178176,0.149504
256,0.0005,0.234496,0.178176,0.175104,0.165888
512,0.0005,0.254976,0.211968,0.173056,0.16384
1024,0.0004,0.251904,0.232448,0.17408,0.132096
2048,0.0022,0.62976,0.212992,0.164864,0.142336
4096,0.002,0.270336,0.35328,0.151552,0.121856
8192,0.004,0.392192,0.268288,0.156672,0.13312
16384,0.0087,0.405504,0.29184,0.173056,0.136192
32768,0.0221,0.474112,0.31232,0.191488,0.155648
65536,0.0448,0.64,0.330752,0.203776,0.150016
131072,0.6175,1.11104,0.360448,0.188416,0.490496
262144,1.2065,2.13402,0.431104,0.224256,0.47616
524288,2.7432,4.30378,0.681984,0.312896,0.47056
1048576,5.4133,7.78848,1.12538,0.38048,1.2121
2097152,10.9461,15.8228,3.14013,0.5304,0.589088
4194304,18.9103,33.1217,4.28381,0.852992,0.719872
8388608,40.1785,64.5827,6.65395,1.51731,0.825856
16777216,78.2217,128.729,11.3623,2.8825,1.32602
33554432,150.499,260.468,30.0616,5.64298,2.152
67108864,310.285,531.973,51.9983,10.9507,3.57734
16,0.0001,0.376832,0.120832,0.173056,0.17408
32,0.0003,0.226304,0.19456,0.176128,0.146432
64,0.0001,0.217088,0.15872,0.210944,0.160768
128,0.0003,0.2304,0.157696,0.172032,0.14848
256,0.0001,0.24576,0.167936,0.193536,0.17408
512,0.0008,0.260096,0.19456,0.182272,0.17408
1024,0.0004,0.268288,0.21504,0.175104,0.14848
2048,0.0011,0.278528,0.242688,0.151552,0.134144
4096,0.0043,0.251904,0.293888,0.229376,0.118784
8192,0.0071,0.3328,0.249856,0.173056,0.27136
16384,0.0454,0.400384,0.304128,0.183296,0.166912
32768,0.0185,0.475136,0.333824,0.169632,0.149504
65536,0.0615,0.666624,0.320512,0.211968,0.15872
131072,0.6012,1.04038,0.34304,0.192512,0.490496
262144,1.5328,2.31219,0.45568,0.211968,0.499712
524288,2.3835,3.8745,0.672768,0.282336,0.53248
1048576,4.7471,8.2985,1.94253,0.392192,0.60928
2097152,9.1785,15.8873,2.08234,0.505376,0.549888
4194304,21.9288,31.1296,4.12512,0.848896,0.667008
8388608,38.0063,63.4274,6.90176,1.53904,0.853632
16777216,77.2364,130.428,15.4127,2.88819,1.24906
33554432,154.669,260.993,22.1389,5.69002,2.2081
67108864,308.568,527.575,65.6859,11.1733,3.59674
16,0.0001,0.231424,0.099328,0.203776,0.146432
32,0.0001,0.228352,0.125952,0.181248,0.150528
64,0.0001,0.234496,0.160768,0.177152,0.149504
128,0.0002,0.247808,0.151552,0.260096,0.150528
256,0.0002,0.2816,0.17408,0.195584,0.139264
512,0.0006,0.214016,0.192512,0.183296,0.154624
1024,0.0004,0.264192,0.216064,0.181248,0.145408
2048,0.0023,0.185344,0.229376,0.14848,0.126976
4096,0.0044,0.390144,0.223232,0.119808,0.129024
8192,0.0039,0.433152,0.299008,0.1536,0.128
16384,0.0097,0.381952,0.283648,0.178176,0.15872
32768,0.0206,0.538624,0.333824,0.234496,0.181248
65536,0.0429,0.656384,0.320512,0.200704,0.168256
131072,0.6006,1.01786,0.365568,0.211968,0.493568
262144,1.1709,2.13504,0.396288,0.340992,0.494304
524288,3.1029,3.8871,0.705536,0.30256,0.520768
1048576,5.0658,8.45517,1.13152,0.379424,0.5376
2097152,9.6368,15.9649,2.37453,0.543552,0.584608
4194304,17.9428,31.1941,3.41811,0.859136,0.693248
8388608,36.1585,63.168,6.51437,1.51962,0.861632
16777216,72.2131,127.249,11.4575,2.89587,1.33325
33554432,144.617,255.865,30.0329,5.60282,2.1375
67108864,302.215,519.788,53.1855,10.9903,3.61206
16,0.0001,0.217088,0.110592,0.201728,0.169984
32,0.0001,0.22528,0.11776,0.181248,0.145408
64,0.0003,0.233472,0.140288,0.178176,0.150528
128,0.0002,0.229376,0.149504,0.200704,0.173056
256,0.0005,0.226304,0.173056,0.186368,0.150528
512,0.0007,0.259072,0.195584,0.203776,0.173056
1024,0.0006,0.277504,0.214016,0.206848,0.155648
2048,0.0024,0.267264,0.234496,0.150528,0.119808
4096,0.0018,0.31232,0.247808,0.150528,0.131072
8192,0.0038,0.335872,0.26112,0.154624,0.47616
16384,0.023,0.379904,0.292864,0.173056,0.165888
32768,0.0202,0.4864,0.323584,0.156672,0.134144
