Array Size,CPU (s),Na‹ve (s),Work Efficient (s),Shared Memory (s),Thrust (s)
32765,0.0351,1.1817,1.2288,1.0711,1.26157
65533,0.04,1.49299,1.61382,1.65786,1.46637
131069,0.5829,2.25075,2.42586,2.54976,3.05664
262141,1.2111,4.28339,4.03763,4.74931,4.82406
524285,2.6364,7.90016,7.83053,8.5719,8.17971
1048573,5.0352,14.9709,15.4911,14.0298,14.8296
2097149,9.6087,29.1348,28.4385,27.734,29.527
4194301,18.8805,58.58,55.5428,53.59,54.7656
8388605,39.2855,113.128,110.047,106.016,105.923
16777213,76.6146,230.167,221.981,210.111,210.928
33554429,156.218,458.357,435.73,424.766,422.782
67108861,308.049,929.798,894.432,854.03,846.926
13,0.0001,0.766976,0.75264,0.743424,0.743424
29,0.0001,0.543744,0.6656,0.676864,0.570368
61,0.0002,0.497664,0.490496,0.700416,0.602112
125,0.0002,0.518144,0.51712,1.03936,0.57344
253,0.0002,0.628736,0.729088,1.01274,0.751616
509,0.0007,0.678912,0.861184,0.744448,0.700416
1021,0.0011,0.55296,0.708608,1.02195,0.799744
2045,0.0009,0.557056,0.70144,0.7936,1.44077
4093,0.0026,0.60928,0.98304,0.717824,0.79872
8189,0.0038,0.776192,0.970752,1.02502,0.744448
16381,0.0081,0.775168,1.07213,1.08339,0.929792
32765,0.016,1.18886,1.27795,0.960512,1.05779
65533,0.0389,1.55341,1.90771,1.44794,1.47046
131069,0.654,2.28352,2.59891,2.75046,3.51642
262141,1.2099,4.11136,4.09805,4.43597,4.97562
524285,2.353,7.87763,7.53152,8.28621,8.06605
1048573,4.7692,15.5996,15.8024,13.867,15.4655
2097149,9.5133,29.1737,29.6745,27.4176,27.9624
4194301,19.9007,57.2959,54.3949,54.9079,53.1558
8388605,38.4648,113.421,111.688,105.856,106.173
16777213,79.368,228.742,216.797,210.419,210.875
33554429,155.064,461.869,443.455,420.866,421.057
67108861,309.183,926.029,878.618,851.633,843.993
13,0.0001,0.473088,0.49664,0.61952,0.509952
29,0.0001,0.776192,0.581632,0.617472,0.60928
61,0.0002,0.541696,0.631808,0.54784,0.520192
125,0.0004,0.516096,0.96256,0.632832,0.539648
253,0.0003,0.523264,0.616448,0.608256,0.766976
509,0.0005,1.29536,0.693248,0.755712,0.642048
1021,0.0005,0.52736,0.792576,0.759808,0.688128
2045,0.002,0.647168,0.82432,0.780288,0.935936
4093,0.0017,1.44589,0.876544,0.7936,0.733184
8189,0.0044,0.694272,1.37523,0.847872,0.748544
16381,0.0081,0.755712,1.43667,0.862208,0.9728
32765,0.0437,1.11411,1.37626,1.05062,1.06701
65533,0.0364,1.60563,1.664,1.56774,1.88211
131069,0.6012,2.33882,2.41152,2.66854,2.88051
262141,1.2024,4.53222,4.04173,4.3735,5.47738
524285,2.5164,7.90118,7.80288,8.70605,8.02406
1048573,5.3011,14.7108,14.7241,14.4691,14.8818
2097149,9.2648,30.0329,27.9491,27.9183,27.3213
4194301,19.788,57.1392,58.5779,53.0278,52.4861
8388605,37.8216,113.988,111.341,105.589,105.138
16777213,75.5491,229.293,226.396,210.833,209.673
33554429,152.229,463.078,434.749,423.82,422.11
67108861,312.054,930.994,893.563,853.079,840.994
13,0,0.677888,0.846848,0.95744,0.851968
29,0.0001,0.681984,0.746496,0.751616,0.713728
61,0.0002,0.627712,0.980992,0.801792,0.755712
125,0.0002,0.591872,0.676864,0.867328,0.755712
253,0.0004,0.653312,0.698368,0.700416,0.729088
509,0.0004,1.16531,0.777216,0.6912,0.65536
1021,0.0004,0.969728,0.702464,0.674816,0.81408
2045,0.001,0.695296,0.8192,0.739328,1.03427
4093,0.0041,0.758784,0.858112,0.738304,1.42234
8189,0.0039,0.687104,0.857088,0.96768,0.710656
16381,0.0077,0.791552,0.999424,0.971776,0.840704
32765,0.0173,1.13152,1.22573,1.92614,1.14074
65533,0.0367,1.52371,1.62099,1.48582,1.46432
131069,0.5997,2.31014,2.47501,2.46067,2.97677
262141,1.2046,4.11648,4.78208,4.13798,5.74362
524285,2.3441,7.79162,7.55098,7.75578,8.76442
1048573,4.7283,15.3825,14.6749,15.2637,14.2438
2097149,9.6764,29.3345,29.0345,28.2644,27.8241
4194301,18.6766,58.4888,56.0404,53.9914,53.7764
8388605,38.5604,114.651,110.756,105.601,105.9
16777213,78.6532,230.62,218.877,212.141,210.475
33554429,155.821,461.022,442.646,424.806,422.713
67108861,304.551,930.635,877.669,856.338,842.733
13,0.0001,0.673792,0.948224,0.877568,0.806912
29,0.0003,0.590848,0.888832,0.877568,0.643072
61,0.0001,0.65024,0.699392,0.755712,0.657408
125,0.0001,0.610304,0.7936,0.718848,0.646144
253,0.0002,0.562176,0.766976,0.717824,0.84992
509,0.0003,0.780288,0.746496,0.7168,0.712704
1021,0.001,0.591872,0.835584,0.705536,0.714752
2045,0.0009,0.748544,0.776192,0.751616,0.673792
4093,0.0018,0.786432,0.896,0.805888,0.794624
8189,0.0037,0.937984,0.970752,0.800768,1.04243
16381,0.0084,0.908288,0.92672,0.94208,1.29126
32765,0.0465,1.18067,1.48275,1.08954,1.20422
65533,0.0424,1.48685,1.78586,1.63942,1.61997
131069,0.6004,2.31014,2.4832,2.48832,3.53587
262141,1.2104,4.2455,4.02842,4.4841,4.87219
524285,2.4147,8.45005,8.23808,8.04966,8.44186
1048573,4.8354,15.4993,14.7405,14.5469,14.7354
2097149,9.5166,29.3304,28.503,27.8886,27.5835
4194301,18.5364,57.5621,57.0952,53.2777,53.7436
8388605,37.9391,113.044,109.767,106.211,107.529
16777213,75.9457,228.819,221.299,211.014,208.857
33554429,154.035,464.075,435.659,423.424,424.162
67108861,313.419,935.826,895.312,855.258,844.974
13,0.0001,0.556032,0.664576,0.764928,0.736256
29,0.0002,0.56832,0.646144,0.729088,0.946176
61,0.0004,0.820224,0.750592,0.713728,0.801792
125,0.0001,0.714752,0.872448,0.733184,0.663552
253,0.0002,0.718848,0.702464,0.719872,0.813056
509,0.0005,0.656384,1.34656,0.755712,0.88064
1021,0.0004,0.555008,0.779264,0.786432,0.774144
2045,0.0009,0.718848,0.869376,0.759744,0.774144
4093,0.0231,0.730112,0.763904,1.02912,0.820224
8189,0.0038,0.859136,0.929792,0.99328,0.799744
16381,0.0084,1.42643,1.08749,0.924672,0.86528
32765,0.051,1.1479,1.23187,1.13254,1.07725
65533,0.0364,1.44691,1.6681,1.48992,1.50016
131069,0.6207,2.40845,2.42176,2.84877,3.14778
262141,1.2726,4.4247,4.1001,4.52096,5.40262
524285,2.3963,8.04147,8.53299,8.10496,8.09574
1048573,5.3218,16.5724,14.6657,15.0569,14.9146
2097149,9.7951,27.8139,29.3212,27.6838,27.5436
4194301,18.9905,57.0143,55.5633,53.6054,53.6842
8388605,39.8028,113.384,110.188,104.994,106.893
16777213,78.5332,228.425,218.352,210.916,210.788
33554429,155.014,461.883,446.271,425.155,420.422
67108861,310.607,937.09,878.021,854.041,844.555
13,0.0001,0.719872,0.913408,0.92672,0.893952
29,0.0001,0.58368,0.744448,0.790528,0.708608
61,0.0001,0.50688,0.796672,0.781312,1.31789
125,0.0003,0.631808,0.685056,0.715776,0.894976
253,0.0002,0.530432,1.00659,0.777216,0.781312
509,0.0003,0.539648,0.927744,0.78848,0.831488
1021,0.0004,0.760832,0.804864,0.789504,0.761856
2045,0.0009,0.723968,0.917504,0.702464,0.668672
4093,0.0017,1.01069,0.805888,0.751616,0.738304
8189,0.019,0.666624,1.36294,0.854016,0.806912
16381,0.0077,0.915456,1.07315,0.924672,0.868352
32765,0.0463,0.997376,1.72442,1.0967,1.13357
65533,0.0396,1.5104,1.6855,1.48275,1.93331
131069,0.5861,2.61427,2.67674,2.78016,4.3817
262141,1.207,4.88448,3.97107,4.47386,5.08109
524285,2.5278,7.89197,7.43424,7.72096,8.064
1048573,4.6671,15.0436,15.6129,14.5654,14.7036
2097149,9.3971,28.8707,27.7709,27.9327,27.8405
4194301,19.0929,57.8826,57.2631,53.2869,53.6125
8388605,35.9556,113.619,110.559,105.945,105.715
16777213,75.6997,228.007,221.181,211.338,210.831
33554429,148.21,460.758,433.954,424.148,422.491
67108861,292.346,927.411,890.453,851.23,845.674
